step,mean_reward,std_reward,mean_win_rate,std_win_rate,mean_relsup,std_relsup,mean_510k,std_510k
0,19.17,11.63,0.2575,0.145,-0.0657,0.6821,19.07,5.55
2048,25.12,2.83,0.33,0.0424,0.2424,0.186,22.32,0.28
4096,28.51,1.85,0.375,0.0283,0.4759,0.1453,23.62,0.87
8192,30.36,2.6,0.405,0.0283,0.6539,0.2533,24.46,1.33
16384,35.47,1.31,0.4725,0.0177,1.0944,0.1485,27.58,1.45
32768,41.42,1.69,0.525,0.0354,1.8083,0.1834,31.32,0.99
65536,42.22,1.97,0.5425,0.0318,1.9301,0.3054,31.33,0.14
131072,40.88,0.06,0.52,0.0071,1.7494,0.0127,30.48,0.35
262144,44.75,0.14,0.5775,0.0177,2.2679,0.0595,32.15,0.42
524288,43.91,1.4,0.56,0.0141,2.138,0.2,32.01,0.98
1048576,44.3,1.77,0.57,0.0283,2.2066,0.336,32.6,0.78
1114112,44.28,2.99,0.5625,0.0318,2.2119,0.4383,32.38,0.87
1179648,47.33,0.25,0.6025,0.0106,2.683,0.1476,34.33,0.32
1245184,45.54,1.12,0.575,0.0212,2.4165,0.0911,33.34,0.26
1310720,44.17,1.1,0.565,0.0354,2.2218,0.2263,32.67,0.18
1376256,46.17,3.08,0.585,0.0283,2.434,0.417,33.58,2.79
1441792,46.91,1.89,0.59,0.0495,2.5781,0.3697,34.11,0.08
1507328,46.49,1.99,0.605,0.0283,2.5848,0.3066,33.39,0.44
1572864,46.62,2.16,0.5775,0.0247,2.5232,0.2287,34.02,1.59
1638400,47.48,1.03,0.5975,0.0389,2.5941,0.1641,34.38,1.1
1703936,47.3,0.96,0.6125,0.0177,2.5873,0.2068,34.39,0.32
1769472,48.28,2.05,0.6325,0.053,2.7963,0.3138,34.17,0.08
1835008,44.61,0.66,0.5575,0.0177,2.1407,0.0343,34.21,1.5
1900544,46.76,1.92,0.5875,0.0177,2.5267,0.3434,34.16,0.8
1966080,48.37,0.35,0.6175,0.0318,2.7843,0.0141,34.98,0.35
2031616,48.75,1.84,0.63,0.0283,2.8745,0.2403,34.75,0.99
2097152,49.61,0.23,0.635,0.0212,3.0396,0.0807,35.11,0.19
2162688,48.76,0.2,0.62,0.0,2.8295,0.0117,34.96,0.76
2228224,48.84,0.2,0.63,0.0141,2.9034,0.0578,34.24,0.37
2293760,48.42,1.31,0.61,0.0283,2.8132,0.1684,34.62,0.74
2359296,46.96,1.12,0.5925,0.0035,2.6201,0.1664,34.27,0.97
2424832,47.67,1.11,0.6075,0.0177,2.6323,0.1338,34.67,1.11
2490368,48.59,1.78,0.6225,0.0318,2.8072,0.3012,34.39,0.66
2555904,50.27,1.41,0.6375,0.0247,3.1087,0.1947,35.18,0.42
2621440,47.22,0.99,0.585,0.0495,2.5976,0.1561,34.62,0.15
2686976,48.55,1.98,0.59,0.0495,2.832,0.3868,35.65,0.14
2752512,47.02,2.38,0.595,0.0424,2.5996,0.3041,34.21,0.13
2818048,48.76,1.29,0.62,0.0283,2.8762,0.0245,34.96,1.0
2883584,48.08,3.08,0.6175,0.0601,2.7935,0.5326,34.28,1.66
2949120,45.98,1.22,0.56,0.0141,2.391,0.2427,34.38,0.37
3014656,47.86,1.15,0.58,0.0,2.6982,0.2333,35.87,0.02
3080192,47.11,0.05,0.585,0.0495,2.6195,0.0287,35.11,0.9
3145728,49.36,1.19,0.6225,0.0106,2.992,0.1224,35.36,0.34
3211264,47.2,0.14,0.5675,0.0035,2.6653,0.0629,35.1,0.0
3276800,47.26,0.34,0.5925,0.0035,2.6466,0.074,34.46,0.62
3342336,46.6,3.25,0.5875,0.046,2.5669,0.4405,34.4,1.84
3407872,45.76,2.7,0.5675,0.0318,2.4588,0.3896,34.06,1.15
3473408,47.77,1.8,0.5925,0.0247,2.6994,0.17,35.58,0.95
3538944,51.12,3.43,0.6675,0.0318,3.3973,0.5734,35.83,1.87
3604480,52.34,2.23,0.675,0.0354,3.6115,0.3799,36.55,0.25
3670016,49.67,2.61,0.6325,0.0177,3.0891,0.4186,35.47,1.48
3735552,47.97,0.16,0.6025,0.0035,2.7701,0.0893,35.17,0.4
3801088,48.4,3.89,0.6,0.0424,2.8262,0.5631,35.3,2.05
3866624,48.67,1.17,0.6075,0.0106,2.8064,0.2173,35.17,1.03
3932160,49.09,1.29,0.635,0.0283,2.9726,0.2217,34.99,0.01
3997696,49.0,1.39,0.625,0.0212,2.9931,0.1698,34.8,0.81
4063232,48.98,1.98,0.635,0.0424,2.9753,0.2215,34.08,0.98
4128768,48.98,0.26,0.6375,0.0106,2.9119,0.0672,35.19,0.83
4194304,49.15,1.41,0.635,0.0283,2.9212,0.1626,34.85,0.14
