step,mean_reward,std_reward,settlement_win_rate,first_finish_rate,mean_510k_score,mean_opponent_reward,relative_superiority,mean_episode_steps,std_episode_steps
0,27.4,30.16,0.36,0.36,23.0,19.34,0.4166,16.98,3.94
2048,27.12,29.53,0.36,0.365,22.52,19.74,0.374,17.44,3.93
4096,29.82,30.67,0.395,0.39,24.23,18.89,0.5787,17.0,3.66
8192,32.2,31.38,0.425,0.42,25.4,17.57,0.833,16.8,3.53
16384,36.4,33.11,0.46,0.445,28.6,16.55,1.1994,17.22,3.59
32768,42.62,32.32,0.55,0.515,32.02,14.51,1.938,17.61,3.78
65536,40.83,34.04,0.52,0.485,31.43,15.04,1.7141,17.34,3.71
131072,40.92,32.4,0.515,0.505,30.73,14.93,1.7405,17.25,3.66
262144,44.65,32.35,0.59,0.57,31.85,13.84,2.2258,17.52,3.53
524288,44.9,30.71,0.57,0.555,32.7,13.69,2.2794,17.37,3.35
1048576,45.55,33.27,0.59,0.56,33.15,13.22,2.4442,17.43,3.69
1114112,46.4,32.51,0.585,0.585,33.0,13.18,2.5218,17.55,3.68
1179648,47.5,32.35,0.61,0.585,34.1,12.54,2.7874,17.36,3.78
1245184,44.75,32.11,0.56,0.54,33.15,13.35,2.3521,17.39,3.72
1310720,44.95,31.29,0.59,0.56,32.55,13.29,2.3818,17.52,3.7
1376256,44.0,31.77,0.565,0.56,31.6,14.02,2.1391,17.41,3.35
1441792,48.25,33.36,0.625,0.605,34.05,12.57,2.8395,17.91,4.07
1507328,47.9,32.57,0.625,0.605,33.7,12.6,2.8016,17.77,4.02
1572864,45.1,32.97,0.56,0.555,32.9,13.42,2.3615,17.36,3.83
1638400,48.2,30.39,0.625,0.615,33.6,12.99,2.7101,17.78,3.64
1703936,47.98,31.9,0.625,0.595,34.17,12.85,2.7335,17.64,3.73
1769472,49.73,31.99,0.67,0.64,34.12,12.38,3.0182,17.76,3.63
1835008,44.15,33.28,0.57,0.525,33.15,14.17,2.1165,17.71,3.43
1900544,48.12,34.01,0.6,0.585,34.73,12.77,2.7696,18.01,3.58
1966080,48.62,33.26,0.64,0.585,35.23,12.88,2.7743,17.96,3.6
2031616,47.45,32.58,0.61,0.585,34.05,12.81,2.7046,18.07,3.8
2097152,49.77,33.27,0.65,0.62,34.98,12.15,3.0967,18.39,3.93
2162688,48.62,34.75,0.62,0.605,34.42,12.72,2.8212,18.23,4.02
2228224,48.98,33.27,0.62,0.625,33.98,12.42,2.9443,18.04,3.98
2293760,47.5,33.51,0.59,0.585,34.1,12.86,2.6941,18.09,3.91
2359296,47.75,33.66,0.595,0.57,34.95,12.78,2.7378,17.53,3.83
2424832,46.88,31.77,0.595,0.575,33.88,13.25,2.5377,17.89,3.73
2490368,47.33,33.67,0.6,0.585,33.92,13.17,2.5943,18.14,3.87
2555904,51.27,32.29,0.655,0.645,35.48,12.07,3.2464,18.45,3.79
2621440,46.52,34.33,0.55,0.55,34.52,13.34,2.4872,18.02,3.75
2686976,47.15,33.91,0.555,0.54,35.55,13.25,2.5585,18.04,3.88
2752512,45.33,33.56,0.565,0.53,34.12,13.39,2.3846,17.68,3.89
2818048,47.85,34.01,0.6,0.59,34.25,12.4,2.8589,17.63,3.89
2883584,50.25,31.15,0.66,0.62,35.45,12.05,3.1701,17.75,3.5
2949120,45.12,33.08,0.55,0.525,34.12,14.02,2.2194,18.04,3.67
3014656,47.05,34.42,0.58,0.53,35.85,13.32,2.5332,18.2,3.78
3080192,47.08,33.84,0.62,0.565,34.48,12.93,2.6398,17.64,3.64
3145728,50.2,33.81,0.63,0.615,35.6,12.31,3.0785,17.89,3.45
3211264,47.3,33.69,0.57,0.555,35.1,12.75,2.7098,17.67,3.66
3276800,47.02,33.5,0.59,0.575,34.02,13.08,2.5943,17.69,3.64
3342336,44.3,32.94,0.555,0.53,33.1,13.61,2.2554,17.52,3.49
3407872,43.85,32.02,0.545,0.515,33.25,13.78,2.1833,17.43,3.6
3473408,46.5,34.49,0.575,0.54,34.9,12.99,2.5792,17.48,3.41
3538944,48.7,33.44,0.645,0.605,34.5,12.2,2.9918,17.43,3.66
3604480,50.77,33.04,0.65,0.61,36.38,11.69,3.3428,17.81,3.85
3670016,47.83,32.64,0.62,0.585,34.42,12.61,2.7931,17.3,3.68
3735552,48.08,33.58,0.605,0.58,34.88,12.54,2.8332,17.61,3.61
3801088,45.65,34.03,0.57,0.545,33.85,13.32,2.428,17.55,3.6
3866624,47.85,31.99,0.6,0.585,34.45,13.1,2.6527,17.7,3.57
3932160,50.0,33.34,0.655,0.625,35.0,12.11,3.1294,17.89,3.69
3997696,48.02,31.12,0.61,0.595,34.23,12.4,2.873,17.46,3.64
4063232,47.58,34.12,0.605,0.605,33.38,12.46,2.8187,17.57,3.74
4128768,48.8,33.36,0.63,0.605,34.6,12.32,2.9594,17.81,3.71
4194304,48.15,33.96,0.615,0.585,34.75,12.65,2.8063,18.16,4.05
