step,mean_reward,std_reward,first_finish_rate,mean_510k_score,mean_episode_steps,std_episode_steps
0,28.95,29.10579839138586,0.41,22.55,17.52,3.5790501533228056
32,19.7,24.24685546622489,0.18,22.5,18.78,4.092871852379451
64,30.75,29.532820725423434,0.39,25.15,18.22,3.700216209899092
128,33.8,28.906054729070174,0.42,27.0,17.99,3.4248941589485655
256,39.65,31.30698803781673,0.52,28.85,17.51,3.3837700867523495
512,37.7,30.95496729121192,0.5,27.7,17.66,3.2900455923892604
1024,42.45,31.284940466620682,0.54,30.85,18.11,3.486818033680565
2048,40.4,32.08332900432871,0.51,30.0,18.03,3.485555909750983
4096,41.5,32.08971797944008,0.55,29.5,17.58,3.661092733051158
8192,44.5,33.8563140344604,0.59,30.9,17.24,3.219068188156318
16384,44.5,35.224281397922084,0.56,32.1,18.07,3.3563521865263186
32768,46.0,33.21897048374618,0.6,32.0,17.84,3.6130873224985853
65536,49.05,32.060060823398324,0.64,33.45,17.62,3.5377393911931954
131072,52.1,30.472774734178707,0.66,35.7,17.74,3.4135611903113734
262144,52.55,30.630825976457114,0.69,34.95,17.64,3.4395348522729057
524288,52.9,30.45636222532166,0.67,36.1,17.98,3.605495805017668
1048576,54.7,30.41233302461355,0.69,37.1,18.03,3.642677586611256
