step,mean_reward,std_reward,settlement_win_rate,first_finish_rate,mean_510k_score,mean_opponent_reward,relative_superiority,mean_episode_steps,std_episode_steps
1060864,52.1,32.1456062316454,0.675,0.655,35.9,11.11,3.6902,17.94,3.741176285608579
1126400,51.8,31.531888620886633,0.63,0.625,36.8,11.85,3.3713,18.335,3.579493679279236
1191936,49.725,32.07490257194868,0.64,0.6,35.725,12.24,3.0619,18.065,3.5861922703614204
1257472,51.625,32.534356840115954,0.655,0.625,36.625,11.75,3.3936,18.205,3.5486581971218363
1323008,51.25,31.732278518883575,0.64,0.62,36.45,11.96,3.2857,17.69,3.490544370152026
1388544,51.3,30.61960156501061,0.675,0.65,35.3,11.85,3.3291,18.055,3.373718275137982
1454080,50.8,31.358571396031422,0.665,0.63,35.6,12.03,3.2216,18.235,3.3659731133804383
1519616,50.825,30.494989342513303,0.645,0.635,35.425,11.82,3.3011,17.92,3.6171259309014943
1585152,52.075,29.100161082028396,0.675,0.655,35.875,11.58,3.4957,18.225,3.4546164765426566
1650688,53.5,30.376800358168072,0.685,0.67,36.7,11.15,3.7982,18.325,3.6413424722209253
1716224,52.175,30.395630853792127,0.68,0.66,35.775,11.29,3.6207,18.305,3.3259547501431825
1781760,54.05,29.280496922012784,0.7,0.675,37.05,10.93,3.9436,18.155,3.269705644243836
1847296,52.85,31.40664738554563,0.665,0.645,37.05,11.21,3.7152,18.34,3.4891832855268583
1912832,54.575,31.051479433353897,0.705,0.68,37.375,10.44,4.2267,18.22,3.5807261833320903
1978368,54.45,31.22414930786746,0.695,0.67,37.65,10.83,4.0262,18.54,3.5466040094715963
2043904,54.85,31.328541300226536,0.69,0.665,38.25,10.78,4.0905,18.565,3.35645274061769
2109440,55.9,31.399681527047374,0.725,0.695,38.1,10.3,4.4272,18.3,3.159113799786263
2174976,53.4,31.071530377501524,0.675,0.65,37.4,11.09,3.8144,18.04,3.450854966526411
2240512,54.425,30.802505985714863,0.685,0.65,38.425,11.06,3.9216,18.085,3.491099397038131
2306048,51.575,31.577592925997386,0.62,0.61,37.175,11.57,3.4557,17.83,3.3661699303511106
2371584,55.35,30.312992264044137,0.685,0.665,38.75,10.68,4.185,18.57,3.4706051345550675
2437120,53.15,31.214219516111562,0.65,0.64,37.55,11.03,3.8209,18.065,3.3646359387012437
2502656,54.175,29.99490581748841,0.685,0.65,38.175,10.99,3.9287,18.51,3.383770086752349
2568192,55.975,30.069492430036128,0.71,0.71,37.575,10.43,4.365,18.52,3.4437769962644214
2633728,54.05,30.884421639396134,0.7,0.665,37.45,10.95,3.9361,18.28,3.391400890487587
2699264,53.725,31.70172511078853,0.665,0.67,36.925,10.93,3.9139,18.34,3.703295829393056
2764800,54.975,31.72734427902846,0.675,0.68,37.775,10.73,4.1219,18.565,3.4951072944903996
2830336,49.8,30.991289098712883,0.63,0.595,36.0,12.22,3.0736,17.735,3.3918689538365125
2895872,53.5,31.606961258558215,0.67,0.65,37.5,10.97,3.8747,18.485,3.5028238608300013
2961408,55.875,30.386828972434753,0.725,0.695,38.075,10.66,4.2424,18.295,3.4609211201643992
3026944,54.725,33.080196114896296,0.665,0.665,38.125,10.67,4.1305,18.445,3.6148271051324157
3092480,55.575,32.04363236276437,0.68,0.685,38.175,10.44,4.3224,18.51,3.541172122334637
3158016,54.85,32.71051054324894,0.67,0.665,38.25,10.82,4.0709,18.465,3.564936885836831
3223552,52.65,31.964472465535852,0.65,0.62,37.85,11.34,3.6422,18.3,3.5341194094144583
3289088,55.4,31.246439797199297,0.71,0.67,38.6,10.65,4.2019,18.49,3.421973115031736
3354624,55.575,31.281693927918933,0.695,0.68,38.375,10.35,4.3696,18.225,3.3859082976359534
3420160,56.5,30.3273803682415,0.71,0.695,38.7,10.26,4.5077,18.34,3.3323265146140764
3485696,54.175,30.715539633872623,0.705,0.67,37.375,10.78,4.024,18.055,3.566787770529668
3551232,55.025,31.434445676677683,0.69,0.675,38.025,10.51,4.2363,18.56,3.5869764426324298
3616768,55.225,31.08575839512364,0.7,0.675,38.225,10.82,4.1055,18.47,3.292278846027475
3682304,55.8,29.561123118041372,0.695,0.69,38.2,10.56,4.2849,18.225,3.5049072740944234
3747840,52.575,31.956914353547965,0.635,0.625,37.575,11.53,3.5618,18.48,3.641373367288776
3813376,52.2,30.982414366863022,0.655,0.625,37.2,11.7,3.4615,17.915,3.287518060786891
3878912,57.75,31.03123426484999,0.73,0.725,38.75,9.69,4.9587,18.37,3.571148274715011
3944448,56.575,31.53798305218646,0.69,0.685,39.175,10.27,4.5106,18.99,3.704038336734651
4009984,57.775,32.02615142348515,0.705,0.705,39.575,9.97,4.7968,18.91,3.534388207313962
4075520,57.175,30.6740016137445,0.715,0.695,39.375,10.22,4.5962,18.59,3.5470974049213817
4141056,56.025,31.4654473192421,0.68,0.665,39.425,10.34,4.4174,18.52,3.3955264687526734
4206592,51.25,32.53363643984484,0.625,0.61,36.85,11.91,3.3037,18.22,3.5187497779751262
