step,mean_reward,std_reward,settlement_win_rate,first_finish_rate,mean_510k_score,mean_opponent_reward,relative_superiority,mean_episode_steps,std_episode_steps,random_baseline_reward,random_baseline_win_rate
0,27.3625,30.275503195653084,0.365,0.3775,22.2625,19.7375,0.3863204557890713,17.4175,3.688928536851859,22.73125,0.25875
32,20.6375,25.605782427998562,0.245,0.22,21.8375,22.25,-0.07247191007978794,18.66,3.93756269791352,22.73125,0.25875
64,27.975,29.500413132700363,0.3475,0.3425,24.275,19.883333333333333,0.4069572504239948,18.1325,3.533403989073426,22.73125,0.25875
128,32.7,30.39465413522582,0.4025,0.4,26.7,18.154166666666665,0.8012393844565129,17.8125,3.525243785896232,22.73125,0.25875
256,38.1375,31.644013553119333,0.4875,0.4675,29.4375,16.09166666666667,1.370015535140332,17.4975,3.36154633316276,22.73125,0.25875
512,37.0625,31.852136407939735,0.4825,0.4575,28.7625,16.474999999999998,1.249620636570792,17.615,3.4120045427871286,22.73125,0.25875
1024,38.2625,30.596872287049212,0.5,0.465,29.6625,16.233333333333334,1.357032853373491,17.9,3.415406271587613,22.73125,0.25875
2048,39.2375,32.12251692738288,0.5025,0.495,29.4375,15.716666666666667,1.4965535515398383,18.1,3.6304269721342695,22.73125,0.25875
4096,39.55,32.01636300393909,0.51,0.5,29.55,15.483333333333334,1.554359525368551,17.685,3.632598931894354,22.73125,0.25875
8192,39.6875,33.003255047797936,0.5075,0.4975,29.7875,15.616666666666669,1.5413553885540945,17.445,3.400290428772225,22.73125,0.25875
16384,39.4875,33.33803899076849,0.495,0.48,30.2875,15.541666666666666,1.540750669249919,17.8225,3.6655141181013065,22.73125,0.25875
32768,41.75,32.93269651880939,0.5425,0.53,30.55,14.625,1.854700853432683,17.955,3.9182872533799764,22.73125,0.25875
65536,41.65,32.831425494486226,0.5225,0.51,31.25,14.870833333333332,1.800784532271818,17.85,3.7466651838668477,22.73125,0.25875
131072,47.25,31.491070162825526,0.61,0.595,33.45,12.995833333333332,2.635780696913795,17.63,3.612215386712149,22.73125,0.25875
262144,46.675,32.04402245349357,0.5975,0.5975,32.775,13.15,2.549429655855947,17.4,3.500714212842859,22.73125,0.25875
524288,49.75,31.548573660309906,0.6375,0.62,34.95,12.470833333333333,2.9893083838375074,17.99,3.7821819099562095,22.73125,0.25875
1048576,50.725,32.10294963083611,0.65,0.6325,35.425,11.783333333333333,3.3048090495291578,17.9325,3.7367022560006036,22.73125,0.25875
