experiment,env,algo,mode,seed,kappa,reward
Toy,Toy,PPO,HIDDEN,0,0.104,
Toy,Toy,PPO,HIDDEN,1,0.0389,
Toy,Toy,PPO,HIDDEN,2,0.0,
Toy,Toy,PPO,HIDDEN,3,0.0046,
Toy,Toy,PPO,HIDDEN,4,0.0041,
Toy,Toy,PPO,HIDDEN,5,0.0027,
Toy,Toy,PPO,HIDDEN,6,0.2353,
Toy,Toy,PPO,HIDDEN,7,0.0,
Toy,Toy,PPO,HIDDEN,8,0.0,
Toy,Toy,PPO,HIDDEN,9,0.0,
Toy,Toy,PPO,REVEALED,0,0.7098,
Toy,Toy,PPO,REVEALED,1,0.5466,
Toy,Toy,PPO,REVEALED,2,0.8127,
Toy,Toy,PPO,REVEALED,3,0.8283,
Toy,Toy,PPO,REVEALED,4,0.6463,
Toy,Toy,PPO,REVEALED,5,0.8666,
Toy,Toy,PPO,REVEALED,6,0.7549,
Toy,Toy,PPO,REVEALED,7,0.801,
Toy,Toy,PPO,REVEALED,8,0.6988,
Toy,Toy,PPO,REVEALED,9,0.5982,
Toy,Toy,A2C,HIDDEN,0,0.9918,
Toy,Toy,A2C,HIDDEN,1,0.0122,
Toy,Toy,A2C,HIDDEN,2,0.0049,
Toy,Toy,A2C,HIDDEN,3,0.1431,
Toy,Toy,A2C,HIDDEN,4,0.0,
Toy,Toy,A2C,HIDDEN,5,0.011,
Toy,Toy,A2C,HIDDEN,6,0.7812,
Toy,Toy,A2C,HIDDEN,7,0.0005,
Toy,Toy,A2C,HIDDEN,8,0.0,
Toy,Toy,A2C,HIDDEN,9,0.0,
Toy,Toy,A2C,REVEALED,0,0.8351,
Toy,Toy,A2C,REVEALED,1,0.8443,
Toy,Toy,A2C,REVEALED,2,0.8161,
Toy,Toy,A2C,REVEALED,3,0.88,
Toy,Toy,A2C,REVEALED,4,0.8199,
Toy,Toy,A2C,REVEALED,5,0.8405,
Toy,Toy,A2C,REVEALED,6,0.8744,
Toy,Toy,A2C,REVEALED,7,0.8048,
Toy,Toy,A2C,REVEALED,8,0.8284,
Toy,Toy,A2C,REVEALED,9,0.8726,
510K,510K,A2C,single,0,0.8241,
510K,510K,A2C,single,1,0.3383,
510K,510K,A2C,single,2,0.6089,
510K,510K,A2C,single,3,0.4783,
510K,510K,A2C,single,4,0.8334,
510K,510K,A2C,single,5,0.4886,
510K,510K,A2C,single,6,0.9724,
510K,510K,A2C,single,7,0.6092,
510K,510K,A2C,static,0,0.5,
510K,510K,A2C,static,1,0.5,
510K,510K,A2C,static,2,0.5,
510K,510K,A2C,static,3,0.5,
510K,510K,A2C,static,4,0.5,
510K,510K,A2C,static,5,0.5,
510K,510K,A2C,static,6,0.5,
510K,510K,A2C,static,7,0.5,
510K,510K,A2C,dynamic,0,0.4287,
510K,510K,A2C,dynamic,1,0.554,
510K,510K,A2C,dynamic,2,0.5324,
510K,510K,A2C,dynamic,3,0.4727,
510K,510K,A2C,dynamic,4,0.4986,
510K,510K,A2C,dynamic,5,0.5041,
510K,510K,A2C,dynamic,6,0.6489,
510K,510K,A2C,dynamic,7,0.5157,
510K,510K,A2C,static,0,0.5,
510K,510K,A2C,static,1,0.5,
510K,510K,A2C,static,2,0.5,
510K,510K,A2C,static,3,0.5,
510K,510K,A2C,static,4,0.5,
510K,510K,A2C,static,5,0.5,
510K,510K,A2C,static,6,0.5,
510K,510K,A2C,static,7,0.5,
510K,510K,DQN,single,0,0.837,
510K,510K,DQN,single,1,0.753,
510K,510K,DQN,single,2,0.512,
510K,510K,DQN,single,3,0.936,
510K,510K,DQN,single,4,0.913,
510K,510K,DQN,single,5,0.843,
510K,510K,DQN,single,6,0.817,
510K,510K,DQN,single,7,0.762,
510K,510K,DQN,dynamic,0,0.96,
510K,510K,DQN,dynamic,1,0.933,
510K,510K,DQN,dynamic,2,0.935,
510K,510K,DQN,dynamic,3,0.803,
510K,510K,DQN,dynamic,4,0.944,
510K,510K,DQN,dynamic,5,0.947,
510K,510K,DQN,dynamic,6,0.823,
510K,510K,DQN,dynamic,7,0.991,
510K,510K,DQN,static,0,0.577,
510K,510K,DQN,static,1,0.466,
510K,510K,DQN,static,2,0.382,
510K,510K,DQN,static,3,0.577,
510K,510K,DQN,static,4,0.466,
510K,510K,DQN,static,5,0.382,
510K,510K,DQN,static,6,0.577,
510K,510K,DQN,static,7,0.466,
510K,510K,DQN,static,8,0.382,
510K,510K,SAC,single,0,0.4817,
510K,510K,SAC,single,1,0.6025,
510K,510K,SAC,dynamic,0,0.5866,
510K,510K,SAC,dynamic,1,0.5517,
510K,510K,PPO,dynamic,0,0.4285,
510K,510K,PPO,dynamic,1,0.3843,
510K,510K,PPO,dynamic,2,0.3545,
510K,510K,PPO,dynamic,3,0.3752,
510K,510K,PPO,dynamic,4,0.3943,
510K,510K,PPO,dynamic,5,0.517,
510K,510K,PPO,dynamic,6,0.5268,
510K,510K,PPO,dynamic,7,0.4682,
510K,510K,PPO,dynamic,8,0.5482,
510K,510K,PPO,static,0,0.5191,
510K,510K,PPO,single,0,0.5689,
510K,510K,REINFORCE,single,0,0.8625,
510K,510K,REINFORCE,single,1,0.0,
510K,510K,REINFORCE,single,2,0.5,
510K,510K,REINFORCE,single,3,0.7111,
510K,510K,REINFORCE,single,4,0.0,
510K,510K,REINFORCE,single,5,0.5,
510K,510K,REINFORCE,single,6,0.8236,
510K,510K,REINFORCE,single,7,0.5,
510K,510K,REINFORCE,dynamic,0,0.5,
510K,510K,REINFORCE,dynamic,1,0.6574,
510K,510K,REINFORCE,dynamic,2,0.6369,
510K,510K,REINFORCE,dynamic,3,0.9144,
510K,510K,REINFORCE,dynamic,4,0.9742,
510K,510K,REINFORCE,dynamic,5,0.4411,
510K,510K,REINFORCE,dynamic,6,0.1913,
510K,510K,REINFORCE,dynamic,7,0.5206,
Overcooked,Overcooked,PPO,static,0,0.5,
Overcooked,Overcooked,PPO,static,1,0.5,
Overcooked,Overcooked,PPO,static,2,0.5,
Overcooked,Overcooked,PPO,static,3,0.5,
Overcooked,Overcooked,PPO,static,4,0.5,
Overcooked,Overcooked,PPO,static,5,0.5,
Overcooked,Overcooked,PPO,static,6,0.5,
Overcooked,Overcooked,PPO,static,7,0.5,
Overcooked,Overcooked,PPO,dynamic,0,0.0,
Overcooked,Overcooked,PPO,dynamic,1,0.0,
Overcooked,Overcooked,PPO,dynamic,2,0.0,
Overcooked,Overcooked,PPO,dynamic,3,0.0,
Overcooked,Overcooked,PPO,dynamic,4,0.0,
Overcooked,Overcooked,PPO,dynamic,5,0.0,
Overcooked,Overcooked,PPO,dynamic,6,0.0,
Overcooked,Overcooked,PPO,dynamic,7,0.0,
Overcooked,Overcooked,A2C,static,0,0.5,
Overcooked,Overcooked,A2C,static,1,0.5,
Overcooked,Overcooked,A2C,static,2,0.5,
Overcooked,Overcooked,A2C,static,3,0.5,
Overcooked,Overcooked,A2C,static,4,0.5,
Overcooked,Overcooked,A2C,static,5,0.5,
Overcooked,Overcooked,A2C,static,6,0.5,
Overcooked,Overcooked,A2C,static,7,0.5,
Overcooked,Overcooked,A2C,dynamic,0,0.5,
Overcooked,Overcooked,A2C,dynamic,1,0.0,
Overcooked,Overcooked,A2C,dynamic,2,0.0,
